councillor_name,ward_name,party_name,councillor_url,councillor_id,page_last_updated,joined_council,office_expires,council_service,telephone,email,has_surgery,surgery_summary,register_of_interests_url
Diane Donaldson,Bromford & Hodge Hill,Labour,https://www.birmingham.gov.uk/councillors/38/diane_donaldson,38,2026-05-12,,2030,May 2016 to date,,,True,Bromford & Hodge Hill Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/3586/councillor_diane_donaldson
Alan Feeney,Shard End,Reform UK,https://www.birmingham.gov.uk/councillors/116/alan_feeney,116,2026-05-15,,2030,,,,True,Shard End Ward @ Reform UK Party,
Sam Forsyth,Quinton,Independent,https://www.birmingham.gov.uk/councillors/172/sam_forsyth,172,2026-05-11,5 May 2022,2030,May 2022 to date,,,True,Quinton Ward @ Independent Party,https://www.birmingham.gov.uk/downloads/file/23531/councillor_sam_forsyth
Corinne Fowler,Bournbrook & Selly Park,Green,https://www.birmingham.gov.uk/councillors/187/corinne_fowler,187,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Bournbrook & Selly Park Ward @ Green Party,
Eddie Freeman,Allens Cross,Reform UK,https://www.birmingham.gov.uk/councillors/192/eddie_freeman,192,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Allens Cross Ward @ Reform UK Party,
Ed Freshwater,Handsworth,Green,https://www.birmingham.gov.uk/councillors/95/ed_freshwater,95,2026-05-15,,2030,,,,True,Handsworth Ward @ Green Party,
Chris Garghan,Billesley,Green,https://www.birmingham.gov.uk/councillors/37/chris_garghan,37,2026-05-15,,2030,,,,True,Billesley Ward @ Green Party,
Ray Goodwin,Castle Vale,Labour,https://www.birmingham.gov.uk/councillors/160/ray_goodwin,160,2026-05-12,5 May 2022,,May 2022 to date,,,True,Castle Vale Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/23454/councillor_ray_goodwin
Rob Grant,Kings Norton South,Green,https://www.birmingham.gov.uk/councillors/163/rob_grant,163,2026-05-12,5 May 2022,2030,May 2022 to date,,,False,,https://www.birmingham.gov.uk/downloads/file/23455/councillor_rob_grant
Graham Green,Oscott,Reform UK,https://www.birmingham.gov.uk/councillors/40/graham_green,40,2026-05-15,,2030,,,,True,Oscott Ward @ Reform UK Party,
Roxanne Green,Bournville & Cotteridge,Green,https://www.birmingham.gov.uk/councillors/126/roxanne_green,126,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Bournville & Cotteridge Ward @ Green Party,
Gemma Guttridge,Frankley Great Park,Reform UK,https://www.birmingham.gov.uk/councillors/130/gemma_guttridge,130,2026-05-15,,2030,,,,True,Frankley Great Park Ward @ Reform UK Party,
George Hall,Northfield,Reform UK,https://www.birmingham.gov.uk/councillors/189/george_hall,189,2026-05-15,,2030,,,,True,Northfield Ward @ Reform UK Party,
Roger Harmer,Acocks Green,Liberal Democrat,https://www.birmingham.gov.uk/councillors/51/roger_harmer,51,2026-05-11,4 May 1995,2030,"May 1995 to May 2001, May 2008 to May 2012, May 2014 to date",,,True,Acocks Green Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/3599/councillor_roger_harmer
Siobhan Harper-Nunes,Ladywood,Green,https://www.birmingham.gov.uk/councillors/19/siobhan_harper-nunes,19,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Ladywood Ward @ Green Party,
Deborah Harries,Yardley East,Liberal Democrat,https://www.birmingham.gov.uk/councillors/149/deborah_harries,149,2026-05-11,21 October 2021,2030,October 2021 to date,,,True,Yardley East Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/21545/councillor_deborah_harries
